    1.3      -41195.9407292394    -25850864.7670050   -1120999.22155962
    1.6      -41214.8370509327    -25862722.3978308   -1121513.41692775
    1.9      -41223.8822688467    -25868398.3625240   -1121759.54997050
    2.2      -41226.9686126809    -25870335.0741434   -1121843.53370710
    2.5      -41227.1698904948    -25870461.3779844   -1121849.01075821
    2.8      -41226.2208162742    -25869865.8244202   -1121823.18511996
    3.1      -41224.9895387104    -25869093.1854362   -1121789.68033367
    3.4      -41223.8786641783    -25868396.1005585   -1121759.45188242
    3.7      -41223.0259210687    -25867860.9957298   -1121736.24754857
    4.0      -41222.4191478922    -25867480.2394938   -1121719.73640095
