    1.3      -41195.9447124959    -25850867.2665383   -1120999.32994961
    1.6      -41214.8410427788    -25862724.9027541   -1121513.52555147
    1.9      -41223.8862585319    -25868400.8660914   -1121759.65853542
    2.2      -41226.9726561300    -25870337.6114481   -1121843.64373502
    2.5      -41227.1738838350    -25870463.8838453   -1121849.11942259
    2.8      -41226.2246480028    -25869868.2288683   -1121823.28938666
    3.1      -41224.9933920470    -25869095.6034434   -1121789.78518835
    3.4      -41223.8824628363    -25868398.4842544   -1121759.55524922
    3.7      -41223.0296482202    -25867863.3345547   -1121736.34896958
    4.0      -41222.4228556448    -25867482.5661457   -1121719.83729409
    5.0      -41221.5316573110    -25866923.3302792   -1121695.58653975
