#    1.0       -3318.6609149854    -2082492.91076249   -90305.4096220337
    1.3       -3309.4358607006    -2076704.09694823   -90054.3829798683
    1.6       -3315.0530759559    -2080228.95569309   -90207.2352710664
    1.9       -3318.8853981641    -2082633.77620195   -90311.5181236026
    2.2       -3321.1366057654    -2084046.43148385   -90372.7766341246
    2.5       -3322.2306979724    -2084732.98528466   -90402.5484148062
    2.8       -3322.6890428210    -2085020.60126061   -90415.0206198194
    3.1       -3322.8136684081    -2085098.80506277   -90418.4118565202
    3.4       -3322.7493507246    -2085058.44507319   -90416.6616823074
    3.7       -3322.5842380101    -2084954.83519372   -90412.1687341880
    4.0       -3322.3717291652    -2084821.48376845   -90406.3860710059
    5.0       -3321.6137028622    -2084345.81468306   -90385.7591140645
    6.0       -3320.9517155492    -2083930.41102428   -90367.7455124955
    7.0       -3320.3925807856    -2083579.54836877   -90352.5306727893
